epoch,lr-Adam,step,train_loss_step
,0.001,0,
0,,49,7.715474605560303
0,,99,3.0732901096343994
0,,149,2.082707405090332
0,,199,1.830257773399353
0,,249,1.67842435836792
0,,299,1.662316918373108
0,,349,1.436787724494934
0,,399,1.303957223892212
0,,449,1.3416857719421387
0,,499,1.3026212453842163
0,,549,1.166274905204773
0,,599,1.199483871459961
0,,649,1.2195019721984863
0,,699,1.1778340339660645
0,,749,1.1682541370391846
0,,799,1.0881731510162354
0,,849,1.0113617181777954
0,,899,1.0651360750198364
0,,949,0.9103471040725708
0,,999,1.058391809463501
0,,1049,0.9705396890640259
0,,1099,1.2435325384140015
0,,1149,0.8893503546714783
0,,1199,1.198730707168579
0,,1249,0.9454456567764282
0,,1299,0.9713499546051025
0,,1349,0.8244929909706116
0,,1399,0.9329472780227661
0,,1449,0.9894421696662903
0,,1499,0.9705013632774353
0,,1549,0.9507514238357544
0,,1599,1.0248154401779175
0,,1649,0.8065374493598938
0,,1699,0.9966734647750854
0,,1749,0.9651105403900146
0,,1799,0.8464943766593933
0,,1849,0.7918126583099365
0,,1899,0.9827476739883423
0,,1949,0.9919499754905701
0,,1999,0.8414270877838135
0,,2049,0.8103678226470947
0,,2099,0.8672250509262085
0,,2149,0.7998899817466736
0,,2199,0.8708598017692566
0,,2249,0.8771803975105286
0,,2299,0.8437222838401794
0,,2349,0.8517345190048218
0,,2399,0.7580639123916626
0,,2449,0.8151207566261292
0,,2499,0.8599127531051636
0,,2549,0.7707216739654541
0,,2599,0.812333881855011
0,,2649,0.743599534034729
0,,2699,0.7598857283592224
0,,2749,0.8184105157852173
0,,2799,0.9079538583755493
0,,2849,0.782848596572876
0,,2899,1.0374983549118042
0,,2949,0.695584774017334
0,,2999,0.7927988767623901
0,,3049,0.7341416478157043
0,,3099,0.7551092505455017
