asset,mode,a,b,hold,seed,name,folds,resolved,med_bars,n_eff,barrier_pct,acc,edge,edge_min,pos_folds,ev,ev70
spy,atr,4.5,4.5,120,0,spy 4.5xATR/4.5xATR h120 s0,5,0.7799930719391122,39.0,244,0.1668787864137095,0.5042655892905759,-4.069003385929605,-6.593290779825528,0,-0.008530398469714566,0.06533505277762917
spy,atr,4.5,4.5,120,1,spy 4.5xATR/4.5xATR h120 s1,5,0.7799930719391122,39.0,244,0.1668787864137095,0.4986263784435133,-4.632924470635858,-8.259957573948668,0,-0.010473422751243484,0.022208639208592784
spy,atr,7.5,7.5,120,0,spy 7.5xATR/7.5xATR h120 s0,5,0.42102196918210427,89.0,107,0.2662045603194209,0.5125253803676817,-3.714675832326688,-5.387273123149116,1,-0.010448015223397398,0.024163368776513743
spy,atr,7.5,7.5,120,1,spy 7.5xATR/7.5xATR h120 s1,5,0.42102196918210427,89.0,107,0.2662045603194209,0.507683292035235,-4.1988846655713585,-9.958069729355145,1,-0.012931637421663904,-0.029308895323180772
spy,atr,15.0,15.0,120,0,spy 15.0xATR/15.0xATR h120 s0,5,0.07253175031646494,120.0,79,0.5336674541055053,0.5143082343288603,-3.947244060552689,-7.944657300680813,1,-0.011828828672217703,0.016631694392184676
spy,atr,15.0,15.0,120,1,spy 15.0xATR/15.0xATR h120 s1,5,0.07253175031646494,120.0,79,0.5336674541055053,0.5054818298254669,-4.829884510892029,-11.13207752849571,1,-0.015861205720137373,0.010497816059012122
