epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,8.419231414794922,,,,,
0,,99,,4.8733367919921875,,,,,
0,,149,,3.289985179901123,,,,,
0,,199,,2.1894211769104004,,,,,
0,,249,,1.9478508234024048,,,,,
0,,299,,1.8611996173858643,,,,,
0,,349,,1.6649932861328125,,,,,
0,,399,,1.7777259349822998,,,,,
0,,449,,1.51931631565094,,,,,
0,,499,,1.5071468353271484,,,,,
0,,549,,1.4766545295715332,,,,,
0,,599,,1.4009819030761719,,,,,
0,,649,,1.3122162818908691,,,,,
0,,699,,1.5204416513442993,,,,,
0,,749,,1.301525592803955,,,,,
0,,799,,1.2002902030944824,,,,,
0,,849,,1.2651838064193726,,,,,
0,,899,,1.350098729133606,,,,,
0,,949,,1.1864622831344604,,,,,
0,,999,,1.1089904308319092,,,,,
0,,1049,,1.2051676511764526,,,,,
0,,1099,,1.0828993320465088,,,,,
0,,1149,,1.000635027885437,,,,,
0,,1199,,1.0265778303146362,,,,,
0,,1249,,0.9912575483322144,,,,,
0,,1299,,1.0901020765304565,,,,,
0,,1349,,1.0515780448913574,,,,,
0,,1399,,1.1169238090515137,,,,,
0,,1449,,0.982406497001648,,,,,
0,,1499,,1.077842354774475,,,,,
0,,1549,,0.8359652757644653,,,,,
0,,1599,,0.8381659388542175,,,,,
0,,1649,,1.0313087701797485,,,,,
0,,1699,,1.1320838928222656,,,,,
0,,1749,,0.8304672837257385,,,,,
0,,1799,,0.9218984246253967,,,,,
0,,1849,,1.011467456817627,,,,,
0,,1899,,0.8590458631515503,,,,,
0,,1949,,0.9889794588088989,,,,,
0,,1999,,1.029420018196106,,,,,
0,,2049,,0.9348074793815613,,,,,
0,,2099,,0.8785832524299622,,,,,
0,,2149,,0.7688741087913513,,,,,
0,,2199,,0.7136913537979126,,,,,
0,,2249,,1.0485178232192993,,,,,
0,,2299,,0.9118767380714417,,,,,
0,,2349,,0.7548829317092896,,,,,
0,,2399,,0.7139642238616943,,,,,
